plastic,name,casrn,smiles,ecosar_class,experimental_or_reference_neglog_lc50,log_kow_epi,abraham_e,abraham_s,abraham_a,abraham_b,abraham_v,abraham_l,literature,log_k_plastic_water,prediction_asm_neglog_lc50,prediction_ecosar_neglog_lc50,prediction_bl_neglog_lc50,prediction_lim_neglog_lc50,neglog_critical_burden_mol_kg,prediction_tpm_median_neglog_lc50,evidence_tier
Polyvinyl Chloride,Phenanthrene,85-01-8,c1ccc2c(c1)c1ccccc1cc2,Neutral Organics,5.10484984735857,4.46,2.06,1.29,0.0,0.26,1.4544,7.632,LSER Dataset for CompTox users (2017),3.04,5.604568799999999,5.1914417555923675,5.09818,5.34548,2.564568799999999,5.7433117,exploratory
Polyvinyl Chloride,Phenobarbital,50-06-6,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,Carbonyl Ureas ,2.681,1.47,1.63,1.72,0.71,1.18,1.6999,8.956,,0.69,3.1836123,3.5382964005064172,2.45801,3.43786,2.4936123,3.3933117,exploratory
Polyvinyl Chloride,Flunitrazepam,1622-62-4,CN1C(=O)CN=C(c2c1ccc(c2)N(=O)=O)c1ccccc1F,Amides ,,2.06,2.1,2.15,0.0,1.48,2.1434,10.914,LSER Dataset for CompTox users (2017),1.81,3.4312418000000005,3.462913013292476,2.97898,3.81428,1.6212418000000004,4.5133117,exploratory
Polyvinyl Chloride,Nitrazepam,146-22-5,O=C1CN=C(c2c(N1)ccc(c2)N(=O)=O)c1ccccc1,Amides ,,2.25,2.3,1.53,0.33,1.43,1.9848,10.66,LSER Dataset for CompTox users (2017),0.9,3.4083995999999996,3.8431292156828896,3.14675,3.9355,2.5083995999999997,3.6033117,exploratory
Polyvinyl Chloride,Oxazepam,604-75-1,O=C1Nc2ccc(cc2C(=NC1O)c1ccccc1)Cl,Amides ,,2.24,2.35,1.12,0.2,1.62,1.9917,10.27,LSER Dataset for CompTox users (2017),0.9,2.7939508999999996,3.755389514485282,3.1379200000000003,3.92912,1.8939508999999997,3.6033117,exploratory
Polyvinyl Chloride,glycerol trinitrate,55-63-0,O=N(=O)OC(CON(=O)=O)CON(=O)=O,Neutral Organics,,1.62,0.49,2.04,0.0,0.34,1.23,6.007,Abraham Absolv,1.47,3.768089999999999,2.7494900920467873,2.59046,3.53356,2.2980899999999993,4.1733117,exploratory
Polyvinyl Chloride,medazepam,2898-12-6,Clc1ccc2c(c1)C(=NCCN2C)c1ccccc1,Neutral Organics,,4.41,1.9,1.77,0.0,0.89,2.0582,9.854,LSER Dataset for CompTox users (2017),1.7,5.237741399999999,5.272115974306184,5.05403,5.31358,3.537741399999999,4.4033117,exploratory
Polyvinyl Chloride,Fluphenazine,69-23-8,OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,Aliphatic Amines,,4.36,2.16,2.25,0.18,1.85,3.0907,15.02,LSER Dataset for CompTox users (2017),2.86,5.389833899999998,5.118824518911702,5.00988,5.28168,2.5298338999999985,5.5633117,exploratory
Polyvinyl Chloride,Naproxen,22204-53-1,COc1ccc2c(c1)ccc(c2)[C@@H](C(=O)O)C,Neutral Organics-acid,,3.18,1.51,2.02,0.6,0.67,1.7821,9.207,LSER Dataset for CompTox users (2017),2.43,5.1333117,3.075922385579444,3.9679400000000005,4.528840000000001,2.7033117,5.1333117,exploratory
Polyvinyl Chloride,Verapamil,52-53-9,COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,Aliphatic Amines,,3.79,1.81,3.17,0.0,2.37,3.7861,17.51,LSER Dataset for CompTox users (2017),3.18,5.490919699999997,5.553835263660125,4.50657,4.91802,2.3109196999999972,5.8833117,exploratory
